preset,freq_hz,magnitude_db,phase_deg,group_delay_samples
flat,548.764648,0.000000000,0.000000000,-0.000000000
flat,556.233398,0.000000000,0.000000000,-0.000000000
flat,563.803528,0.000000000,0.000000000,-0.000000000
flat,571.476685,0.000000000,0.000000000,-0.000000000
flat,579.254578,0.000000000,0.000000000,-0.000000000
flat,587.138245,0.000000000,0.000000000,-0.000000000
flat,595.129272,0.000000000,0.000000000,-0.000000000
flat,603.22876,0.000000000,0.000000000,-0.000000000
flat,611.438538,0.000000000,0.000000000,-0.000000000
flat,619.760254,0.000000000,0.000000000,-0.000000000
flat,628.195251,0.000000000,0.000000000,-0.000000000
flat,636.744812,0.000000000,0.000000000,-0.000000000
flat,645.410645,0.000000000,0.000000000,-0.000000000
flat,654.194763,0.000000000,0.000000000,-0.000000000
flat,663.09845,0.000000000,0.000000000,-0.000000000
flat,672.122986,0.000000000,0.000000000,-0.000000000
flat,681.270325,0.000000000,0.000000000,-0.000000000
flat,690.54248,0.000000000,0.000000000,-0.000000000
flat,699.940857,0.000000000,0.000000000,-0.000000000
flat,709.467102,0.000000000,0.000000000,-0.000000000
flat,719.122742,0.000000000,0.000000000,-0.000000000
flat,728.909729,0.000000000,0.000000000,-0.000000000
flat,738.830261,0.000000000,0.000000000,-0.000000000
flat,748.885803,0.000000000,0.000000000,-0.000000000
flat,759.077881,0.000000000,0.000000000,-0.000000000
flat,769.408691,0.000000000,0.000000000,-0.000000000
flat,779.880432,0.000000000,0.000000000,-0.000000000
flat,790.49469,0.000000000,0.000000000,-0.000000000
flat,801.252991,0.000000000,0.000000000,-0.000000000
flat,812.157776,0.000000000,0.000000000,-0.000000000
flat,823.211365,0.000000000,0.000000000,-0.000000000
flat,834.415344,0.000000000,0.000000000,-0.000000000
flat,845.771423,0.000000000,0.000000000,-0.000000000
flat,857.282471,0.000000000,0.000000000,-0.000000000
flat,868.949768,0.000000000,0.000000000,-0.000000000
flat,880.776306,0.000000000,0.000000000,-0.000000000
flat,892.763794,0.000000000,0.000000000,-0.000000000
flat,904.91394,0.000000000,0.000000000,-0.000000000
flat,917.229492,0.000000000,0.000000000,-0.000000000
flat,929.713135,0.000000000,0.000000000,-0.000000000
flat,942.366638,0.000000000,0.000000000,-0.000000000
flat,955.191895,0.000000000,0.000000000,-0.000000000
flat,968.191711,0.000000000,0.000000000,-0.000000000
flat,981.368896,0.000000000,0.000000000,-0.000000000
flat,994.725464,0.000000000,0.000000000,-0.000000000
flat,1008.26331,0.000000000,0.000000000,-0.000000000
flat,1021.98541,0.000000000,0.000000000,-0.000000000
flat,1035.89478,0.000000000,0.000000000,-0.000000000
flat,1049.99341,0.000000000,0.000000000,-0.000000000
flat,1064.28394,0.000000000,0.000000000,-0.000000000
flat,1078.76843,0.000000000,0.000000000,-0.000000000
flat,1093.45007,0.000000000,0.000000000,-0.000000000
flat,1108.33203,0.000000000,0.000000000,-0.000000000
flat,1123.41614,0.000000000,0.000000000,-0.000000000
flat,1138.70593,0.000000000,0.000000000,-0.000000000
flat,1154.20386,0.000000000,0.000000000,-0.000000000
flat,1169.91211,0.000000000,0.000000000,-0.000000000
flat,1185.83472,0.000000000,0.000000000,-0.000000000
flat,1201.97351,0.000000000,0.000000000,-0.000000000
flat,1218.33252,0.000000000,0.000000000,-0.000000000
flat,1234.91357,0.000000000,0.000000000,-0.000000000
flat,1251.72095,0.000000000,0.000000000,-0.000000000
flat,1268.75635,0.000000000,0.000000000,-0.000000000
flat,1286.02429,0.000000000,0.000000000,-0.000000000
flat,1303.52661,0.000000000,0.000000000,-0.000000000
flat,1321.26782,0.000000000,0.000000000,-0.000000000
flat,1339.24976,0.000000000,0.000000000,-0.000000000
flat,1357.47717,0.000000000,0.000000000,-0.000000000
flat,1375.95251,0.000000000,0.000000000,-0.000000000
flat,1394.67871,0.000000000,0.000000000,-0.000000000
flat,1413.66052,0.000000000,0.000000000,-0.000000000
flat,1432.8999,0.000000000,0.000000000,-0.000000000
flat,1452.40186,0.000000000,0.000000000,-0.000000000
flat,1472.16846,0.000000000,0.000000000,-0.000000000
flat,1492.20496,0.000000000,0.000000000,-0.000000000
flat,1512.51331,0.000000000,0.000000000,-0.000000000
flat,1533.09875,0.000000000,0.000000000,-0.000000000
flat,1553.96362,0.000000000,0.000000000,-0.000000000
flat,1575.11328,0.000000000,0.000000000,-0.000000000
